iter	Passed	Remaining
299	606	19609
300	608	19611
301	610	19594
302	612	19599
303	615	19615
304	616	19602
305	618	19585
306	619	19570
307	622	19577
308	627	19664
309	630	19694
310	631	19686
311	634	19698
312	638	19758
313	642	19810
314	644	19800
315	645	19781
316	646	19762
317	648	19754
318	650	19749
319	654	19784
320	655	19777
321	657	19762
322	659	19745
323	661	19768
324	663	19756
325	665	19749
326	667	19746
327	669	19730
328	670	19715
329	672	19704
330	674	19709
331	676	19695
332	678	19703
333	680	19690
334	681	19672
335	683	19663
336	685	19647
337	687	19653
338	689	19663
339	691	19654
340	693	19643
341	695	19638
342	697	19624
343	699	19628
344	701	19623
345	703	19615
346	704	19602
347	706	19605
348	708	19594
349	710	19582
350	711	19571
351	713	19558
352	716	19571
353	718	19570
354	719	19557
355	721	19542
356	723	19542
357	725	19545
358	727	19535
359	729	19534
360	731	19520
361	733	19519
362	737	19567
363	739	19566
364	740	19559
365	742	19549
366	744	19551
367	746	19539
368	748	19548
369	750	19538
370	753	19544
371	755	19541
372	756	19525
373	758	19511
374	759	19500
375	762	19514
376	765	19550
377	768	19549
378	769	19533
379	771	19522
380	773	19538
381	775	19525
382	778	19544
383	781	19565
384	783	19556
385	786	19579
386	787	19569
387	790	19576
388	792	19577
389	794	19566
390	795	19554
391	797	19554
392	800	19559
393	802	19554
394	803	19540
395	805	19545
396	807	19531
397	810	19541
398	811	19533
399	813	19526
400	815	19532
401	817	19525
402	819	19513
403	820	19499
404	822	19497
405	824	19488
406	826	19491
407	829	19492
408	830	19477
409	832	19463
410	833	19454
411	836	19465
412	839	19477
413	840	19468
414	842	19459
415	844	19444
416	845	19432
417	848	19453
418	850	19443
419	852	19440
420	853	19430
421	855	19424
422	857	19423
423	860	19427
424	861	19416
425	863	19417
426	866	19422
427	868	19414
428	869	19400
429	871	19393
430	873	19392
431	875	19400
432	878	19399
433	879	19388
434	881	19376
435	882	19364
436	885	19381
437	887	19383
438	889	19373
439	891	19365
440	893	19368
441	895	19355
442	897	19354
443	898	19343
444	903	19399
445	905	19392
446	906	19380
447	907	19344
448	909	19342
449	911	19343
450	913	19340
451	915	19336
452	916	19324
453	918	19317
454	920	19317
